bed_gs,talus_gs,lith,talus_dimensions,vert,horiz,depth,incline,bf_w,bluff_h,coord_n,coord_w
16,,0,,0,0,0,,56.16,6.97,36.059961,-93.303504
16,,,,,,,,,,,
16,,,,,,,,,,,
16,,,,,,,,,,,
16,,,,,,,,,,,
16,,,,,,,,,,,
16,,,,,,,,,,,
16,,,,,,,,,,,
22.6,,,,,,,,,,,
22.6,,,,,,,,,,,
22.6,,,,,,,,,,,
22.6,,,,,,,,,,,
22.6,,,,,,,,,,,
22.6,,,,,,,,,,,
22.6,,,,,,,,,,,
32,,,,,,,,,,,
32,,,,,,,,,,,
32,,,,,,,,,,,
32,,,,,,,,,,,
32,,,,,,,,,,,
32,,,,,,,,,,,
32,,,,,,,,,,,
32,,,,,,,,,,,
32,,,,,,,,,,,
32,,,,,,,,,,,
32,,,,,,,,,,,
32,,,,,,,,,,,
32,,,,,,,,,,,
32,,,,,,,,,,,
32,,,,,,,,,,,
32,,,,,,,,,,,
32,,,,,,,,,,,
32,,,,,,,,,,,
32,,,,,,,,,,,
32,,,,,,,,,,,
32,,,,,,,,,,,
32,,,,,,,,,,,
32,,,,,,,,,,,
32,,,,,,,,,,,
32,,,,,,,,,,,
45,,,,,,,,,,,
45,,,,,,,,,,,
45,,,,,,,,,,,
45,,,,,,,,,,,
45,,,,,,,,,,,
45,,,,,,,,,,,
45,,,,,,,,,,,
45,,,,,,,,,,,
45,,,,,,,,,,,
45,,,,,,,,,,,
45,,,,,,,,,,,
45,,,,,,,,,,,
45,,,,,,,,,,,
45,,,,,,,,,,,
45,,,,,,,,,,,
45,,,,,,,,,,,
45,,,,,,,,,,,
45,,,,,,,,,,,
45,,,,,,,,,,,
45,,,,,,,,,,,
45,,,,,,,,,,,
45,,,,,,,,,,,
45,,,,,,,,,,,
45,,,,,,,,,,,
45,,,,,,,,,,,
45,,,,,,,,,,,
45,,,,,,,,,,,
45,,,,,,,,,,,
45,,,,,,,,,,,
64,,,,,,,,,,,
64,,,,,,,,,,,
64,,,,,,,,,,,
64,,,,,,,,,,,
64,,,,,,,,,,,
64,,,,,,,,,,,
64,,,,,,,,,,,
64,,,,,,,,,,,
64,,,,,,,,,,,
64,,,,,,,,,,,
64,,,,,,,,,,,
64,,,,,,,,,,,
64,,,,,,,,,,,
64,,,,,,,,,,,
64,,,,,,,,,,,
64,,,,,,,,,,,
64,,,,,,,,,,,
64,,,,,,,,,,,
64,,,,,,,,,,,
64,,,,,,,,,,,
64,,,,,,,,,,,
64,,,,,,,,,,,
64,,,,,,,,,,,
64,,,,,,,,,,,
64,,,,,,,,,,,
64,,,,,,,,,,,
64,,,,,,,,,,,
64,,,,,,,,,,,
64,,,,,,,,,,,
64,,,,,,,,,,,
64,,,,,,,,,,,
64,,,,,,,,,,,
64,,,,,,,,,,,
64,,,,,,,,,,,
90,,,,,,,,,,,
90,,,,,,,,,,,
90,,,,,,,,,,,
90,,,,,,,,,,,
90,,,,,,,,,,,
90,,,,,,,,,,,
90,,,,,,,,,,,
90,,,,,,,,,,,
90,,,,,,,,,,,
90,,,,,,,,,,,
90,,,,,,,,,,,
90,,,,,,,,,,,
90,,,,,,,,,,,
90,,,,,,,,,,,
90,,,,,,,,,,,
90,,,,,,,,,,,
90,,,,,,,,,,,
90,,,,,,,,,,,
90,,,,,,,,,,,
90,,,,,,,,,,,
90,,,,,,,,,,,
90,,,,,,,,,,,
90,,,,,,,,,,,
90,,,,,,,,,,,
90,,,,,,,,,,,
90,,,,,,,,,,,
90,,,,,,,,,,,
90,,,,,,,,,,,
90,,,,,,,,,,,
128,,,,,,,,,,,
128,,,,,,,,,,,
128,,,,,,,,,,,
128,,,,,,,,,,,
128,,,,,,,,,,,
128,,,,,,,,,,,
128,,,,,,,,,,,
128,,,,,,,,,,,
128,,,,,,,,,,,
128,,,,,,,,,,,
128,,,,,,,,,,,
128,,,,,,,,,,,
128,,,,,,,,,,,
128,,,,,,,,,,,
128,,,,,,,,,,,
128,,,,,,,,,,,
128,,,,,,,,,,,
128,,,,,,,,,,,
128,,,,,,,,,,,
128,,,,,,,,,,,
128,,,,,,,,,,,
128,,,,,,,,,,,
128,,,,,,,,,,,
128,,,,,,,,,,,
128,,,,,,,,,,,
128,,,,,,,,,,,
128,,,,,,,,,,,
128,,,,,,,,,,,
128,,,,,,,,,,,
180,,,,,,,,,,,
180,,,,,,,,,,,
180,,,,,,,,,,,
180,,,,,,,,,,,
180,,,,,,,,,,,
180,,,,,,,,,,,
256,,,,,,,,,,,
